day,time_h,product_class,location,equipment,input,store_key,level,capacity,fill_pct
179,4272,GBFS,Port Kembla,GBFS_STORE,GBFS,GBFS|Port Kembla|GBFS_STORE|GBFS,24345.67151675299,50000.0,0.4869134303350598
179,4272,GP,Albury,GP_STORE,GP,GP|Albury|GP_STORE|GP,21451.078684018048,99999.0,0.21451293196950016
179,4272,GP,Bulwer Island,GP_STORE,GP,GP|Bulwer Island|GP_STORE|GP,15.546588827838832,30000.0,0.0005182196275946277
179,4272,GP,Clyde,GP_STORE,GP,GP|Clyde|GP_STORE|GP,0.0,3000.0,0.0
179,4272,GP,Devonport,GP_STORE,GP,GP|Devonport|GP_STORE|GP,24996.380235377528,25000.0,0.9998552094151011
179,4272,GP,Gladstone,GP_STORE,GP,GP|Gladstone|GP_STORE|GP,5397.564868187892,30000.0,0.1799188289395964
179,4272,GP,Mackay,GP_STORE,GP,GP|Mackay|GP_STORE|GP,15943.980133161955,99999.0,0.159441395745577
179,4272,GP,Melbourne,GP_STORE,GP,GP|Melbourne|GP_STORE|GP,0.0,35000.0,0.0
179,4272,GP,Newcastle,GP_STORE,GP,GP|Newcastle|GP_STORE|GP,0.0,25000.0,0.0
179,4272,GP,Osborn,GP_STORE,GP,GP|Osborn|GP_STORE|GP,0.0,14500.0,0.0
179,4272,GP,Port Kembla,GP_STORE,GP,GP|Port Kembla|GP_STORE|GP,29661.458616143096,30000.0,0.9887152872047699
179,4272,GP,Railton,GP_STORE_Q,GP,GP|Railton|GP_STORE_Q|GP,1462.1642040596962,1500.0,0.9747761360397975
179,4272,GP,Railton,GP_STORE_ST,GP,GP|Railton|GP_STORE_ST|GP,3559.9680094557816,3600.0,0.988880002626606
179,4272,GP,Townsville,GP_STORE,GP,GP|Townsville|GP_STORE|GP,0.0,30000.0,0.0
179,4272,GP,Wagga,GP_STORE,GP,GP|Wagga|GP_STORE|GP,25898.693522685753,99999.0,0.25898952512210877
179,4272,SG,Bulwer Island,SG_STORE,SG,SG|Bulwer Island|SG_STORE|SG,60.0,10000.0,0.006
179,4272,SG,Chullora,SG_STORE,SG,SG|Chullora|SG_STORE|SG,0.0,99999.0,0.0
179,4272,SG,Clyde,SG_STORE,SG,SG|Clyde|SG_STORE|SG,0.0,3000.0,0.0
179,4272,SG,Melbourne,SG_STORE,SG,SG|Melbourne|SG_STORE|SG,0.0,25000.0,0.0
179,4272,SG,Newcastle,SG_STORE,SG,SG|Newcastle|SG_STORE|SG,0.0,3000.0,0.0
179,4272,SG,Port Kembla,SG_STORE,SG,SG|Port Kembla|SG_STORE|SG,2335.6499792283767,20000.0,0.11678249896141883
179,4272,SG,Tennyson,SG_STORE,SG,SG|Tennyson|SG_STORE|SG,26216.246862695007,99999.0,0.26216509027785284
180,4296,CL,Bulwer Island,CL_STORE_I,CL,CL|Bulwer Island|CL_STORE_I|CL,13265.127271669937,30000.0,0.4421709090556646
180,4296,CL,Bulwer Island,CL_STORE,CL,CL|Bulwer Island|CL_STORE|CL,45307.49188104941,50000.0,0.9061498376209882
